variables,cb,totalFlips,entropy,minEntropy,clauses,earlyRestarts,ratio,lastRunEntropy,flips,flipsPerSecond,tries,sat
500,2.3800,32573,0.9121,0.0000,2050,0,4.1000,0.9297,7573,39492.1441,2,1
500,2.3800,11350,0.8910,0.0000,2050,0,4.1000,0.8910,11350,72937.1590,1,1
500,2.3800,46753,0.9300,0.0000,2050,0,4.1000,0.9191,21753,34906.7349,2,1
500,2.3800,356373,0.9063,0.0000,2050,0,4.1000,0.9025,6373,24348.3850,15,1
500,2.3800,142342,0.9208,0.0000,2050,0,4.1000,0.8712,17342,27227.4190,6,1
500,2.3800,62694,0.9151,0.0000,2050,0,4.1000,0.8926,12694,32225.4672,3,1
500,2.3800,249916,0.9304,0.0000,2050,0,4.1000,0.9547,24916,25434.0782,10,1
500,2.3800,20347,0.9440,0.0000,2050,0,4.1000,0.9440,20347,51318.1580,1,1
500,2.3800,5294,0.8938,0.0000,2050,0,4.1000,0.8938,5294,122808.2891,1,1
500,2.3800,7122,0.9357,0.0000,2050,0,4.1000,0.9357,7122,99461.5581,1,1
500,2.3800,337534,0.9105,0.0000,2050,0,4.1000,0.8845,12534,24329.1242,14,1
500,2.3800,66183,0.9163,0.0000,2050,0,4.1000,0.9071,16183,31724.7790,3,1
500,2.3800,18266,0.8892,0.0000,2050,0,4.1000,0.8892,18266,51713.1515,1,1
500,2.3800,9609,0.9071,0.0000,2050,0,4.1000,0.9071,9609,80483.0888,1,1
500,2.3800,2016,0.9058,0.0000,2050,0,4.1000,0.9058,2016,247673.9675,1,1
500,2.3800,112142,0.9281,0.0000,2050,0,4.1000,0.9122,12142,28055.0799,5,1
500,2.3800,2941,0.8970,0.0000,2050,0,4.1000,0.8970,2941,189766.0300,1,1
500,2.3800,5000000,0.8831,0.0000,2050,0,4.1000,0.9112,25000,24222.5117,20,0
500,2.3800,363012,0.9230,0.0000,2050,0,4.1000,0.9148,13012,24516.2293,15,1
500,2.3800,13389,0.9200,0.0000,2050,0,4.1000,0.9200,13389,65124.0076,1,1
500,2.3800,2650,0.8934,0.0000,2050,0,4.1000,0.8934,2650,208171.4188,1,1
500,2.3800,8871,0.9111,0.0000,2050,0,4.1000,0.9111,8871,84770.6520,1,1
500,2.3800,8976,0.8853,0.0000,2050,0,4.1000,0.8853,8976,84584.7456,1,1
500,2.3800,34869,0.9338,0.0000,2050,0,4.1000,0.9301,9869,39523.8085,2,1
500,2.3800,45968,0.9118,0.0000,2050,0,4.1000,0.9221,20968,33921.0516,2,1
500,2.3800,14203,0.9132,0.0000,2050,0,4.1000,0.9132,14203,63554.4820,1,1
500,2.3800,96163,0.9254,0.0000,2050,0,4.1000,0.9149,21163,28856.5955,4,1
500,2.3800,14898,0.9376,0.0000,2050,0,4.1000,0.9376,14898,60719.8975,1,1
500,2.3800,49941,0.9206,0.0000,2050,0,4.1000,0.9519,24941,34682.7934,2,1
500,2.3800,97851,0.9011,0.0000,2050,0,4.1000,0.9259,22851,28433.7664,4,1
500,2.3800,10321,0.9103,0.0000,2050,0,4.1000,0.9103,10321,77174.2917,1,1
500,2.3800,10072,0.9273,0.0000,2050,0,4.1000,0.9273,10072,79047.8690,1,1
500,2.3800,108307,0.9377,0.0000,2050,0,4.1000,0.9032,8307,28157.8639,5,1
500,2.3800,113400,0.9294,0.0000,2050,0,4.1000,0.9154,13400,27725.3303,5,1
500,2.3800,24928,0.9387,0.0000,2050,0,4.1000,0.9387,24928,45756.3069,1,1
500,2.3800,111419,0.9225,0.0000,2050,0,4.1000,0.9095,11419,28181.6726,5,1
500,2.3800,4781,0.8197,0.0000,2050,0,4.1000,0.8197,4781,129709.1577,1,1
500,2.3800,28510,0.9028,0.0000,2050,0,4.1000,0.8914,3510,42722.8620,2,1
500,2.3800,10308,0.9150,0.0000,2050,0,4.1000,0.9150,10308,76261.8006,1,1
500,2.3800,322904,0.9213,0.0000,2050,0,4.1000,0.9143,22904,24946.6349,13,1
500,2.3800,11562,0.9238,0.0000,2050,0,4.1000,0.9238,11562,64765.5561,1,1
500,2.3800,5000000,0.8842,0.0000,2050,0,4.1000,0.9132,25000,24151.4034,20,0
500,2.3800,108278,0.8898,0.0000,2050,0,4.1000,0.9073,8278,28391.9081,5,1
500,2.3800,24894,0.9362,0.0000,2050,0,4.1000,0.9362,24894,46201.2214,1,1
500,2.3800,154296,0.9333,0.0000,2050,0,4.1000,0.9051,4296,26764.3893,7,1
500,2.3800,2884,0.9103,0.0000,2050,0,4.1000,0.9103,2884,196804.0789,1,1
500,2.3800,8916,0.8847,0.0000,2050,0,4.1000,0.8847,8916,86038.9826,1,1
500,2.3800,8182,0.8733,0.0000,2050,0,4.1000,0.8733,8182,88389.9112,1,1
500,2.3800,39335,0.9246,0.0000,2050,0,4.1000,0.9134,14335,37553.0225,2,1
500,2.3800,13592,0.8994,0.0000,2050,0,4.1000,0.8994,13592,64751.2682,1,1
500,2.3800,5000000,0.8876,0.0000,2050,0,4.1000,0.9546,25000,24146.9394,20,0
500,2.3800,4695,0.9214,0.0000,2050,0,4.1000,0.9214,4695,135782.7575,1,1
500,2.3800,31151,0.9144,0.0000,2050,0,4.1000,0.9081,6151,40859.3585,2,1
500,2.3800,13747,0.9185,0.0000,2050,0,4.1000,0.9185,13747,64358.4859,1,1
500,2.3800,28522,0.9109,0.0000,2050,0,4.1000,0.9062,3522,42245.9174,2,1
500,2.3800,5000000,0.8797,0.0000,2050,0,4.1000,0.8724,25000,24184.1307,20,0
500,2.3800,5000000,0.8937,0.0000,2050,0,4.1000,0.9380,25000,24131.8356,20,0
500,2.3800,5000000,0.8904,0.0000,2050,0,4.1000,0.9544,25000,24005.8015,20,0
500,2.3800,15748,0.9474,0.0000,2050,0,4.1000,0.9474,15748,59665.4589,1,1
500,2.3800,57610,0.9100,0.0000,2050,0,4.1000,0.9246,7610,33005.4068,3,1
500,2.3800,36693,0.9384,0.0000,2050,0,4.1000,0.9341,11693,38514.5101,2,1
500,2.3800,3687,0.8757,0.0000,2050,0,4.1000,0.8757,3687,159051.9420,1,1
500,2.3800,47453,0.9332,0.0000,2050,0,4.1000,0.9456,22453,35395.4384,2,1
500,2.3800,5000000,0.8769,0.0000,2050,0,4.1000,0.9416,25000,24293.7608,20,0
500,2.3800,20195,0.9375,0.0000,2050,0,4.1000,0.9375,20195,51617.3781,1,1
500,2.3800,24035,0.9417,0.0000,2050,0,4.1000,0.9417,24035,46306.6914,1,1
500,2.3800,60979,0.9042,0.0000,2050,0,4.1000,0.9149,10979,31893.7167,3,1
500,2.3800,22256,0.8840,0.0000,2050,0,4.1000,0.8840,22256,49501.9931,1,1
500,2.3800,6794,0.8835,0.0000,2050,0,4.1000,0.8835,6794,98578.3244,1,1
500,2.3800,106645,0.9378,0.0000,2050,0,4.1000,0.9016,6645,28123.8817,5,1
500,2.3800,392563,0.9108,0.0000,2050,0,4.1000,0.8815,17563,24415.0196,16,1
500,2.3800,14711,0.8817,0.0000,2050,0,4.1000,0.8817,14711,61238.2232,1,1
500,2.3800,5000000,0.8830,0.0000,2050,0,4.1000,0.8885,25000,23747.5887,20,0
500,2.3800,45559,0.9399,0.0000,2050,0,4.1000,0.9365,20559,35475.4594,2,1
500,2.3800,19138,0.8815,0.0000,2050,0,4.1000,0.8815,19138,51184.2441,1,1
500,2.3800,11246,0.9205,0.0000,2050,0,4.1000,0.9205,11246,71371.0085,1,1
500,2.3800,5000000,0.8917,0.0000,2050,0,4.1000,0.9495,25000,23864.1469,20,0
500,2.3800,5680,0.8999,0.0000,2050,0,4.1000,0.8999,5680,116255.1940,1,1
500,2.3800,8087,0.9191,0.0000,2050,0,4.1000,0.9191,8087,90554.4947,1,1
500,2.3800,32104,0.9223,0.0000,2050,0,4.1000,0.9069,7104,40083.8818,2,1
500,2.3800,192067,0.9165,0.0000,2050,0,4.1000,0.9159,17067,26166.9877,8,1
500,2.3800,86668,0.9219,0.0000,2050,0,4.1000,0.9411,11668,29739.9181,4,1
500,2.3800,262800,0.9279,0.0000,2050,0,4.1000,0.9325,12800,25211.3430,11,1
500,2.3800,10338,0.8837,0.0000,2050,0,4.1000,0.8837,10338,75000.0834,1,1
500,2.3800,6522,0.9324,0.0000,2050,0,4.1000,0.9324,6522,106611.4019,1,1
500,2.3800,86740,0.9244,0.0000,2050,0,4.1000,0.9149,11740,29424.3969,4,1
500,2.3800,3924,0.9315,0.0000,2050,0,4.1000,0.9315,3924,154035.6951,1,1
500,2.3800,5928,0.9204,0.0000,2050,0,4.1000,0.9204,5928,114928.6259,1,1
500,2.3800,15679,0.9297,0.0000,2050,0,4.1000,0.9297,15679,58962.0760,1,1
500,2.3800,9322,0.9156,0.0000,2050,0,4.1000,0.9156,9322,80390.3348,1,1
500,2.3800,11298,0.9046,0.0000,2050,0,4.1000,0.9046,11298,72272.9492,1,1
500,2.3800,92863,0.9337,0.0000,2050,0,4.1000,0.9236,17863,29305.8737,4,1
500,2.3800,73543,0.9037,0.0000,2050,0,4.1000,0.9235,23543,30561.1709,3,1
500,2.3800,46395,0.8993,0.0000,2050,0,4.1000,0.8921,21395,35270.2264,2,1
500,2.3800,8078,0.9246,0.0000,2050,0,4.1000,0.9246,8078,90014.2202,1,1
500,2.3800,17769,0.9086,0.0000,2050,0,4.1000,0.9086,17769,54120.6149,1,1
500,2.3800,12676,0.9386,0.0000,2050,0,4.1000,0.9386,12676,67278.7788,1,1
500,2.3800,53221,0.9320,0.0000,2050,0,4.1000,0.9168,3221,33416.2438,3,1
500,2.3800,134865,0.9220,0.0000,2050,0,4.1000,0.9371,9865,27106.5933,6,1
500,2.3800,71905,0.9211,0.0000,2050,0,4.1000,0.8936,21905,30866.0458,3,1
500,2.3800,46075,0.9135,0.0000,2050,0,4.1000,0.9178,21075,35690.1507,2,1
500,2.3800,43961,0.9383,0.0000,2050,0,4.1000,0.9435,18961,36466.1483,2,1
500,2.3800,9245,0.9155,0.0000,2050,0,4.1000,0.9155,9245,84415.8700,1,1
500,2.3800,371993,0.9253,0.0000,2050,0,4.1000,0.9532,21993,24538.0207,15,1
500,2.3800,8819,0.8993,0.0000,2050,0,4.1000,0.8993,8819,85553.2799,1,1
500,2.3800,395092,0.9016,0.0000,2050,0,4.1000,0.9201,20092,24445.4854,16,1
500,2.3800,9551,0.9115,0.0000,2050,0,4.1000,0.9115,9551,79852.9634,1,1
500,2.3800,157700,0.9019,0.0000,2050,0,4.1000,0.9037,7700,26627.2703,7,1
500,2.3800,7398,0.9140,0.0000,2050,0,4.1000,0.9140,7398,98231.4210,1,1
500,2.3800,19841,0.9248,0.0000,2050,0,4.1000,0.9248,19841,51826.1638,1,1
500,2.3800,19224,0.9452,0.0000,2050,0,4.1000,0.9452,19224,52877.7027,1,1
500,2.3800,12251,0.9180,0.0000,2050,0,4.1000,0.9180,12251,68501.9334,1,1
500,2.3800,133470,0.9081,0.0000,2050,0,4.1000,0.8791,8470,27302.9999,6,1
500,2.3800,12930,0.8702,0.0000,2050,0,4.1000,0.8702,12930,64092.5500,1,1
500,2.3800,31979,0.9110,0.0000,2050,0,4.1000,0.9111,6979,40364.6401,2,1
500,2.3800,5000000,0.8819,0.0000,2050,0,4.1000,0.9223,25000,24408.5087,20,0
500,2.3800,223958,0.9239,0.0000,2050,0,4.1000,0.9257,23958,25585.9558,9,1
500,2.3800,120579,0.9250,0.0000,2050,0,4.1000,0.9162,20579,27928.4693,5,1
500,2.3800,29052,0.9190,0.0000,2050,0,4.1000,0.9215,4052,43120.5751,2,1
500,2.3800,31265,0.9034,0.0000,2050,0,4.1000,0.8880,6265,41657.8652,2,1
500,2.3800,10380,0.9361,0.0000,2050,0,4.1000,0.9361,10380,77437.2511,1,1
500,2.3800,15412,0.9278,0.0000,2050,0,4.1000,0.9278,15412,59194.6097,1,1
500,2.3800,292843,0.9310,0.0000,2050,0,4.1000,0.9461,17843,24911.7916,12,1
500,2.3800,42554,0.9198,0.0000,2050,0,4.1000,0.9123,17554,36576.8396,2,1
500,2.3800,392643,0.9309,0.0000,2050,0,4.1000,0.9195,17643,24633.0669,16,1
500,2.3800,88436,0.9181,0.0000,2050,0,4.1000,0.9323,13436,29807.5161,4,1
500,2.3800,5698,0.9085,0.0000,2050,0,4.1000,0.9085,5698,117291.1795,1,1
500,2.3800,62112,0.9216,0.0000,2050,0,4.1000,0.8939,12112,32268.7837,3,1
500,2.3800,15959,0.9138,0.0000,2050,0,4.1000,0.9138,15959,59034.5709,1,1
500,2.3800,55560,0.9306,0.0000,2050,0,4.1000,0.9123,5560,32893.1779,3,1
500,2.3800,9899,0.9218,0.0000,2050,0,4.1000,0.9218,9899,77762.7869,1,1
500,2.3800,49901,0.9252,0.0000,2050,0,4.1000,0.9286,24901,34520.9125,2,1
500,2.3800,31904,0.9201,0.0000,2050,0,4.1000,0.9040,6904,40321.9017,2,1
500,2.3800,22186,0.9534,0.0000,2050,0,4.1000,0.9534,22186,48670.7447,1,1
500,2.3800,159608,0.9136,0.0000,2050,0,4.1000,0.9213,9608,26564.2804,7,1
500,2.3800,4363,0.8893,0.0000,2050,0,4.1000,0.8893,4363,142550.9818,1,1
500,2.3800,13175,0.9043,0.0000,2050,0,4.1000,0.9043,13175,65673.9228,1,1
500,2.3800,57011,0.9292,0.0000,2050,0,4.1000,0.9229,7011,33279.4830,3,1
500,2.3800,140166,0.9238,0.0000,2050,0,4.1000,0.9256,15166,27073.5484,6,1
500,2.3800,17748,0.9385,0.0000,2050,0,4.1000,0.9385,17748,55379.4824,1,1
500,2.3800,92726,0.9279,0.0000,2050,0,4.1000,0.9030,17726,29448.2258,4,1
500,2.3800,85079,0.8766,0.0000,2050,0,4.1000,0.9168,10079,28994.9441,4,1
500,2.3800,388988,0.9331,0.0000,2050,0,4.1000,0.9292,13988,24652.8396,16,1
500,2.3800,112885,0.9244,0.0000,2050,0,4.1000,0.9429,12885,27867.6812,5,1
500,2.3800,14647,0.9150,0.0000,2050,0,4.1000,0.9150,14647,56360.0511,1,1
500,2.3800,9859,0.9080,0.0000,2050,0,4.1000,0.9080,9859,80281.9041,1,1
500,2.3800,31028,0.9278,0.0000,2050,0,4.1000,0.9168,6028,40980.8159,2,1
500,2.3800,58096,0.8901,0.0000,2050,0,4.1000,0.8938,8096,32814.9998,3,1
500,2.3800,48891,0.9185,0.0000,2050,0,4.1000,0.9109,23891,34476.1309,2,1
500,2.3800,10662,0.9035,0.0000,2050,0,4.1000,0.9035,10662,75274.1908,1,1
500,2.3800,17769,0.9165,0.0000,2050,0,4.1000,0.9165,17769,53812.4554,1,1
500,2.3800,5000000,0.8738,0.0000,2050,0,4.1000,0.9150,25000,24102.1973,20,0
500,2.3800,107673,0.9298,0.0000,2050,0,4.1000,0.9084,7673,28046.1753,5,1
500,2.3800,7007,0.8918,0.0000,2050,0,4.1000,0.8918,7007,98379.5695,1,1
500,2.3800,5000000,0.8848,0.0000,2050,0,4.1000,0.9350,25000,24164.7938,20,0
500,2.3800,12118,0.9086,0.0000,2050,0,4.1000,0.9086,12118,68607.6674,1,1
500,2.3800,213318,0.9205,0.0000,2050,0,4.1000,0.9192,13318,25519.9775,9,1
500,2.3800,163274,0.9117,0.0000,2050,0,4.1000,0.9118,13274,26553.0394,7,1
500,2.3800,10904,0.9042,0.0000,2050,0,4.1000,0.9042,10904,73050.7480,1,1
500,2.3800,63591,0.9284,0.0000,2050,0,4.1000,0.9416,13591,31984.1992,3,1
500,2.3800,5000000,0.8830,0.0000,2050,0,4.1000,0.9169,25000,24001.7432,20,0
500,2.3800,194938,0.9341,0.0000,2050,0,4.1000,0.9361,19938,25898.5568,8,1
500,2.3800,55060,0.9285,0.0000,2050,0,4.1000,0.9079,5060,33205.1992,3,1
500,2.3800,3857,0.9069,0.0000,2050,0,4.1000,0.9069,3857,156392.5772,1,1
500,2.3800,21810,0.9569,0.0000,2050,0,4.1000,0.9569,21810,49427.2756,1,1
500,2.3800,6212,0.8957,0.0000,2050,0,4.1000,0.8957,6212,108286.4811,1,1
500,2.3800,43894,0.9214,0.0000,2050,0,4.1000,0.9045,18894,35497.2497,2,1
500,2.3800,33729,0.8890,0.0000,2050,0,4.1000,0.8584,8729,39663.1118,2,1
500,2.3800,296610,0.9271,0.0000,2050,0,4.1000,0.9099,21610,24982.8340,12,1
500,2.3800,108370,0.9149,0.0000,2050,0,4.1000,0.9088,8370,28247.9515,5,1
500,2.3800,18714,0.9386,0.0000,2050,0,4.1000,0.9386,18714,53693.9500,1,1
500,2.3800,12116,0.9217,0.0000,2050,0,4.1000,0.9217,12116,68761.9065,1,1
500,2.3800,58350,0.9249,0.0000,2050,0,4.1000,0.9132,8350,32929.0433,3,1
500,2.3800,62226,0.9287,0.0000,2050,0,4.1000,0.9313,12226,32209.8103,3,1
500,2.3800,19258,0.9268,0.0000,2050,0,4.1000,0.9268,19258,52127.7943,1,1
500,2.3800,23610,0.9226,0.0000,2050,0,4.1000,0.9226,23610,47449.9365,1,1
500,2.3800,8481,0.9301,0.0000,2050,0,4.1000,0.9301,8481,87650.1050,1,1
500,2.3800,120393,0.9322,0.0000,2050,0,4.1000,0.9365,20393,27649.2154,5,1
500,2.3800,81762,0.9230,0.0000,2050,0,4.1000,0.9191,6762,29836.9616,4,1
500,2.3800,5000000,0.8853,0.0000,2050,0,4.1000,0.9289,25000,24139.1784,20,0
500,2.3800,9551,0.9270,0.0000,2050,0,4.1000,0.9270,9551,79749.2122,1,1
500,2.3800,15697,0.9044,0.0000,2050,0,4.1000,0.9044,15697,59000.4403,1,1
500,2.3800,28866,0.9180,0.0000,2050,0,4.1000,0.9047,3866,42542.3336,2,1
500,2.3800,56424,0.9166,0.0000,2050,0,4.1000,0.9134,6424,32927.9310,3,1
500,2.3800,15907,0.9235,0.0000,2050,0,4.1000,0.9235,15907,59865.2545,1,1
500,2.3800,13461,0.9073,0.0000,2050,0,4.1000,0.9073,13461,63379.3795,1,1
500,2.3800,60977,0.9086,0.0000,2050,0,4.1000,0.8998,10977,32048.6377,3,1
500,2.3800,213461,0.9243,0.0000,2050,0,4.1000,0.9338,13461,25885.1590,9,1
500,2.3800,20288,0.9136,0.0000,2050,0,4.1000,0.9136,20288,50848.7858,1,1
500,2.3800,2289,0.8834,0.0000,2050,0,4.1000,0.8834,2289,229327.2194,1,1
500,2.3800,96968,0.9294,0.0000,2050,0,4.1000,0.9349,21968,29411.0149,4,1
500,2.3800,5000000,0.8747,0.0000,2050,0,4.1000,0.9342,25000,24289.2341,20,0
500,2.3800,73803,0.9285,0.0000,2050,0,4.1000,0.9409,23803,30966.6814,3,1
500,2.3800,20555,0.9528,0.0000,2050,0,4.1000,0.9528,20555,51099.6674,1,1
500,2.3800,66770,0.9104,0.0000,2050,0,4.1000,0.9182,16770,31893.2764,3,1
500,2.3800,17942,0.9254,0.0000,2050,0,4.1000,0.9254,17942,55073.3082,1,1
500,2.3800,5000000,0.8825,0.0000,2050,0,4.1000,0.9390,25000,24297.2681,20,0
500,2.3800,6606,0.9240,0.0000,2050,0,4.1000,0.9240,6606,104357.1276,1,1
500,2.3800,15099,0.9355,0.0000,2050,0,4.1000,0.9355,15099,60992.2228,1,1
500,2.3800,104493,0.9191,0.0000,2050,0,4.1000,0.9071,4493,28345.0211,5,1
500,2.3800,21211,0.9051,0.0000,2050,0,4.1000,0.9051,21211,50483.1225,1,1
500,2.3800,9069,0.8934,0.0000,2050,0,4.1000,0.8934,9069,82968.4565,1,1
500,2.3800,145909,0.9245,0.0000,2050,0,4.1000,0.9357,20909,27051.5154,6,1
500,2.3800,4294,0.9083,0.0000,2050,0,4.1000,0.9083,4294,144592.7063,1,1
500,2.3800,71092,0.9257,0.0000,2050,0,4.1000,0.9453,21092,30654.9810,3,1
500,2.3800,168315,0.9191,0.0000,2050,0,4.1000,0.9487,18315,26399.6613,7,1
500,2.3800,6217,0.8892,0.0000,2050,0,4.1000,0.8892,6217,109038.9941,1,1
500,2.3800,15804,0.9249,0.0000,2050,0,4.1000,0.9249,15804,58441.6285,1,1
500,2.3800,66304,0.9269,0.0000,2050,0,4.1000,0.9299,16304,31774.6744,3,1
500,2.3800,39753,0.9162,0.0000,2050,0,4.1000,0.9400,14753,37654.7912,2,1
500,2.3800,6702,0.8606,0.0000,2050,0,4.1000,0.8606,6702,104728.4321,1,1
500,2.3800,7670,0.9112,0.0000,2050,0,4.1000,0.9112,7670,95158.7346,1,1
500,2.3800,5800,0.9347,0.0000,2050,0,4.1000,0.9347,5800,116226.0554,1,1
500,2.3800,14865,0.9104,0.0000,2050,0,4.1000,0.9104,14865,62055.5195,1,1
500,2.3800,131675,0.9262,0.0000,2050,0,4.1000,0.9216,6675,27275.4337,6,1
500,2.3800,14355,0.9209,0.0000,2050,0,4.1000,0.9209,14355,63304.2458,1,1
500,2.3800,91666,0.9288,0.0000,2050,0,4.1000,0.9293,16666,29558.2774,4,1
500,2.3800,18550,0.9282,0.0000,2050,0,4.1000,0.9282,18550,53521.4738,1,1
500,2.3800,48239,0.9235,0.0000,2050,0,4.1000,0.9203,23239,34802.6614,2,1
500,2.3800,23835,0.9258,0.0000,2050,0,4.1000,0.9258,23835,47101.2516,1,1
500,2.3800,18631,0.9220,0.0000,2050,0,4.1000,0.9220,18631,53938.0861,1,1
500,2.3800,265159,0.9175,0.0000,2050,0,4.1000,0.8997,15159,25348.4928,11,1
500,2.3800,5000000,0.8825,0.0000,2050,0,4.1000,0.9331,25000,24472.5109,20,0
500,2.3800,1802,0.8847,0.0000,2050,0,4.1000,0.8847,1802,279965.6712,1,1
500,2.3800,5000000,0.8895,0.0000,2050,0,4.1000,0.9300,25000,24294.1627,20,0
500,2.3800,5000000,0.8848,0.0000,2050,0,4.1000,0.9213,25000,24311.3086,20,0
500,2.3800,19318,0.9334,0.0000,2050,0,4.1000,0.9334,19318,52147.5763,1,1
500,2.3800,5276,0.9095,0.0000,2050,0,4.1000,0.9095,5276,122600.9443,1,1
500,2.3800,10333,0.9173,0.0000,2050,0,4.1000,0.9173,10333,77256.9754,1,1
500,2.3800,34458,0.8952,0.0000,2050,0,4.1000,0.9191,9458,39400.4462,2,1
500,2.3800,22900,0.9370,0.0000,2050,0,4.1000,0.9370,22900,48352.3627,1,1
500,2.3800,47461,0.9314,0.0000,2050,0,4.1000,0.9368,22461,35324.7273,2,1
500,2.3800,9706,0.8979,0.0000,2050,0,4.1000,0.8979,9706,79623.3645,1,1
500,2.3800,5000000,0.8808,0.0000,2050,0,4.1000,0.9168,25000,24448.4280,20,0
500,2.3800,18340,0.9374,0.0000,2050,0,4.1000,0.9374,18340,54384.7987,1,1
500,2.3800,70185,0.9355,0.0000,2050,0,4.1000,0.9278,20185,31546.4941,3,1
500,2.3800,62571,0.8942,0.0000,2050,0,4.1000,0.9324,12571,32236.6389,3,1
500,2.3800,61068,0.9276,0.0000,2050,0,4.1000,0.9255,11068,32632.0212,3,1
500,2.3800,92804,0.9319,0.0000,2050,0,4.1000,0.9330,17804,29172.2062,4,1
500,2.3800,7921,0.9105,0.0000,2050,0,4.1000,0.9105,7921,93902.1581,1,1
500,2.3800,4351,0.8866,0.0000,2050,0,4.1000,0.8866,4351,136074.6596,1,1
500,2.3800,22025,0.9156,0.0000,2050,0,4.1000,0.9156,22025,49142.5213,1,1
500,2.3800,221706,0.9204,0.0000,2050,0,4.1000,0.9328,21706,25667.7199,9,1
500,2.3800,12858,0.9227,0.0000,2050,0,4.1000,0.9227,12858,66328.0231,1,1
500,2.3800,8453,0.9024,0.0000,2050,0,4.1000,0.9024,8453,88012.1511,1,1
500,2.3800,12917,0.9345,0.0000,2050,0,4.1000,0.9345,12917,66990.2649,1,1
500,2.3800,11748,0.9262,0.0000,2050,0,4.1000,0.9262,11748,70620.3731,1,1
500,2.3800,5000000,0.8881,0.0000,2050,0,4.1000,0.9401,25000,24294.9724,20,0
500,2.3800,9529,0.9199,0.0000,2050,0,4.1000,0.9199,9529,80160.5605,1,1
